energy,delay
199.8591456539,101
166.3845860864,111
191.283416923,-263
81.83643149825,45
152.0497944749,124
112.6825706265,93
78.17897147284,112
142.0068626242,80
65.07806735125,103
81.98190113697,2
69.01400665031,160
54.95237731655,66
59.10381278546,159
56.30275563088,42
69.38366044925,26
144.1110866134,-103
58.97368930846,62
112.1188809879,30
68.59500044779,21
115.2149086938,102
67.39203027134,47
54.99266771923,90
101.0747549432,52
96.35352613403,14
140.9158049785,105
143.490637455,55
50.48582901346,44
65.81117474485,137
53.45461604724,46
54.61865230518,-174
83.53700723872,116
64.11192587294,109
73.84457077775,103
122.0057892058,-250
183.9156593077,102
62.83085745457,111
139.3426378766,-26
146.2808514457,157
65.83954185273,121
123.0964754673,102
57.05564433201,-84
64.65240007184,130
116.3058706771,54
126.9536963226,39
116.9083845982,161
87.57187218788,108
66.6229135332,63
62.67500025943,145
60.34713077908,13
82.9691006515,13
95.39231711352,63
62.24425394761,103
65.67069581725,25
88.49656821496,103
118.1100688966,83
99.81049861474,15
76.29087860881,59
188.7022923089,144
60.46862157624,51
72.53968826438,149
190.7573968555,-181
71.89317822673,110
110.6999933442,65
79.09633993751,144
109.6142794924,103
87.57178815707,14
62.26141063478,106
112.9130999337,81
55.49268280938,108
163.367967789,104
123.5776915308,133
56.70063733536,104
51.41088757986,76
147.8736322141,17
56.5890602786,101
54.84341497811,33
97.38301707663,105
53.08480148898,47
50.82221309658,56
85.56329144276,104
80.28197945377,105
81.45331241038,124
86.48398686547,102
153.1572758831,28
104.8038388698,29
121.6074004271,103
64.65011269407,50
69.87766267292,19
55.7744363806,-244
53.41846485056,3
172.4156720338,-124
130.292310391,111
70.54877146062,110
83.20531051655,122
59.44584597036,107
54.27260140994,64
97.08014190255,61
90.86322106799,158
71.78406911951,130
60.31212857586,141
134.7928675354,-25
65.75705776611,106
60.87332154791,112
138.8199525299,118
98.68744238673,102
73.23751480496,43
50.98189682645,143
142.4113374303,-236
118.0304029274,107
146.788416613,75
74.70136767013,52
59.06715268494,128
188.5424302142,100
70.18844103292,57
184.2018479971,104
62.95901917725,15
75.37206606587,34
171.7955355038,102
97.57434927054,153
143.5544585887,107
72.32416708948,46
52.9936860388,80
140.15531048,96
77.77587952674,74
104.2918608445,-167
62.81729517692,34
166.1491027997,111
69.91603426131,100
60.87736907769,93
67.53839145404,-91
69.66060435334,38
144.7066453676,156
130.2428081125,156
168.5944457824,-264
138.2035593254,70
110.4979570224,-275
53.84406744787,129
117.3505117685,32
50.7414127207,-236
85.52143276698,87
90.52890192427,146
88.15883022488,79
55.96658175108,34
107.5875135006,-68
84.12220394364,-114
71.28735512106,-281
84.09842816371,87
75.70044897564,46
134.6788639288,146
111.9368073103,-230
61.30357611305,34
102.6444205936,35
109.1780435694,112
102.1135040769,108
87.47341094879,103
143.5207385009,59
120.106943953,-152
186.8207984204,106
109.9502567371,77
182.6354491272,-64
106.6262968939,13
197.154496623,62
105.6162413963,16
109.1222343184,13
54.24547509447,78
96.35524352793,141
147.0517040964,107
89.19542261755,-66
53.55163437534,48
53.46830358701,64
54.01524596325,-69
69.86357133372,12
67.62405938266,20
111.7572355037,-167
68.83197629688,62
64.42591622187,128
156.4715425341,104
103.4567582761,110
72.99316559231,-212
89.20214951107,-187
101.9078006621,-236
93.176836755,161
93.41443266269,-63
72.78170027371,16
196.1133079111,143
55.50794903393,25
52.01491635238,75
147.31604717,-118
141.2850089555,75
106.9568515234,107
113.3039843029,-155
195.6098684851,-140
156.1166141851,111
64.66128114333,31
127.3363634157,-186
177.7367091623,-51
96.31039781375,106
136.135387414,-261
