****************************************************************************************************************************************************
*    Row   *   SeriesNumber *    EventNumber *       pt_keVee *        coinwin *      PTOFdelay *   zip4.PAWKmax *   zip4.PAWKr50 *         cchisq *
*  1596958 *    72210261049 *        5360099 * 0.413040003185 *              0 *       5.44e-05 * 8.16421701e-07 * 0.001469953627 *              0 *
*  1612490 *    72210261049 *        5470962 * 0.151032877511 *              1 *        7.2e-06 * 2.01636424e-09 * 0.003273381630 *              0 *
*  1650406 *    72210261049 *        5750595 * 0.055856353184 *              1 *       2.56e-05 * 1.09301500e-09 * 0.001571252023 *              0 *
*  1809095 *    72210262224 *         460468 * 0.106803286577 *              0 *        5.2e-05 * 8.20791017e-07 * 0.001209962619 *              0 *
*  1829830 *    72210262224 *         601389 * 0.036947881456 *              0 *       3.52e-05 * 1.01294911e-09 * 0.003177374804 *              1 *
*  1865502 *    72210262224 *         861212 * 0.045511915628 *              1 *       2.96e-05 * 8.14438111e-07 * 0.001364548949 *              0 *
*  1887852 *    72210262224 *        1021241 * 0.458870007362 *              0 *        4.8e-05 * 8.79971655e-10 * 0.000125413097 *              1 *
*  1892715 *    72210262224 *        1060563 * 0.300222130316 *              1 *        1.6e-05 * 7.69738249e-10 * 0.002666090581 *              1 *
*  1912044 *    72210262224 *        1200617 * 0.166186612656 *              1 *       1.68e-05 * 8.58030212e-10 * 0.001028477707 *              0 *
*  1958169 *    72210262224 *        1531102 * 0.038729723577 *              0 *      -1.04e-05 * 1.30975526e-09 * 0.003274060822 *              1 *
*  1973072 *    72210262224 *        1640797 * 0.035718019513 *              1 *        1.2e-05 * 8.49849369e-10 * 0.000440851622 *              1 *
*  2041556 *    72210262224 *        2131145 * 0.088959591015 *              1 *       3.12e-05 * 8.03065528e-10 * 0.001890252498 *              0 *
*  2051705 *    72210262224 *        2210217 * 0.261110684648 *              1 *       2.64e-05 * 7.75321374e-10 * 0.000821234574 *              1 *
*  2160882 *    72210262224 *        3000267 * 0.037395513325 *              0 *          6e-05 * 1.27919903e-09 * 0.001039498169 *              1 *
*  2175021 *    72210262224 *        3100563 * 0.252812954437 *              0 *        5.2e-05 * 1.93061568e-09 * 0.003273422913 *              1 *
*  2230017 *    72210262224 *        3500190 * 0.047974647667 *              0 *       3.92e-05 * 7.35437821e-10 * 0.000445391324 *              0 *
*  2254055 *    72210262224 *        3670632 * 0.039060960652 *              1 *       2.64e-05 * 1.08663171e-09 * 0.003081049999 *              0 *
*  2306532 *    72210262224 *        4041398 * 0.044024310750 *              0 *       -1.2e-05 * 1.46670879e-10 * 0.000251611560 *              0 *
*  2314294 *    72210262224 *        4100796 * 0.038365319049 *              0 *          6e-05 * 9.85909466e-10 * 0.001167294665 *              0 *
*  2331121 *    72210262224 *        4230001 * 0.939857738114 *              0 *       4.16e-05 * 1.07323514e-09 * 0.002201536051 *              0 *
*  2332404 *    72210262224 *        4231284 * 0.091913598202 *              1 *       2.56e-05 * 9.95305413e-10 * 0.000204978940 *              0 *
*  2467318 *    72210262224 *        5201257 * 0.110097353168 *              1 *       2.56e-05 * 8.24927562e-07 * 0.002710690045 *              0 *
*  2524147 *    72210262224 *        5611257 * 0.050992455849 *              1 *       3.04e-05 * 8.40511679e-10 * 0.000842978037 *              0 *
*  2533330 *    72210262224 *        5681098 * 0.047978086048 *              0 *        3.6e-05 * 8.25875545e-07 * 0.001385551837 *              0 *
*  2558399 *    72210262224 *        5861340 * 0.048164201052 *              0 *       3.92e-05 * 7.76960765e-10 * 0.001802156832 *              0 *
*  2616046 *    72210262224 *        6280770 * 0.041725267799 *              0 *       4.16e-05 * 5.43237643e-10 * 0.000401980783 *              0 *
*  2646076 *    72210270959 *         100978 * 0.035833031376 *              1 *       2.96e-05 * 8.98857543e-10 * 0.001979480869 *              1 *
*  2689700 *    72210270959 *         420272 * 0.229800952872 *              0 *       3.92e-05 * 7.25550762e-10 * 0.003002247031 *              0 *
*  2711632 *    72210270959 *         571145 * 0.035166859034 *              0 *       5.68e-05 * 9.30985201e-10 * 0.000607851722 *              0 *
*  2724168 *    72210270959 *         661104 * 0.071080731536 *              0 *       4.96e-05 * 1.06047845e-09 * 0.003268819950 *              0 *
*  2724412 *    72210270959 *         670019 * 0.042355214465 *              0 *        2.4e-06 * 9.24131390e-10 * 0.000619514788 *              1 *
*  2752729 *    72210270959 *         870405 * 0.080965977221 *              0 *       4.96e-05 * 8.24389075e-07 * 0.000581409341 *              0 *
*  2758693 *    72210270959 *         910752 * 0.042238239923 *              0 *       5.04e-05 * 7.79001192e-10 * 0.002435821336 *              0 *
*  2775425 *    72210270959 *        1031173 * 0.112905804914 *              0 *       4.16e-05 * 9.12239463e-10 * 0.002362168979 *              0 *
*  2777186 *    72210270959 *        1050207 * 0.047539094045 *              0 *        5.6e-06 * 4.22425852e-10 * 0.000324044525 *              1 *
*  2803851 *    72210270959 *        1240208 * 0.056991101509 *              0 *       4.24e-05 * 6.93025716e-10 * 0.000315137728 *              0 *
*  2821378 *    72210270959 *        1360981 * 0.067885750058 *              0 *       4.72e-05 * 8.85327593e-10 * 0.002363102284 *              0 *
*  2833772 *    72210270959 *        1450803 * 0.067841549629 *              0 *       4.96e-05 * 8.89615270e-10 * 0.000548213647 *              0 *
*  2855877 *    72210270959 *        1610742 * 0.057415858182 *              0 *       4.88e-05 * 3.18428489e-10 * 0.000203746179 *              0 *
*  2855967 *    72210270959 *        1610832 * 0.095704127457 *              0 *       4.64e-05 * 5.58273265e-10 * 0.000234537736 *              0 *
*  2916826 *    72210270959 *        2050786 * 0.035881978380 *              1 *          2e-05 * 7.59652010e-10 * 0.001157202232 *              1 *
*  2927224 *    72210270959 *        2130083 * 0.035349929337 *              0 *       5.84e-05 * 9.93155375e-10 * 0.003243368448 *              0 *
*  2927605 *    72210270959 *        2130464 * 0.038185984447 *              0 *       5.12e-05 * 8.59179987e-10 * 0.000646479504 *              0 *
*  2943284 *    72210270959 *        2240716 * 0.163730412820 *              1 *        1.2e-05 * 1.06123297e-09 * 0.001615994865 *              0 *
*  2993376 *    72210270959 *        2610680 * 0.044797241543 *              0 *       6.32e-05 * 8.05123397e-07 * 0.001630272191 *              1 *
*  3024020 *    72210270959 *        2840273 * 0.073144597003 *              0 *       4.88e-05 * 1.35648451e-09 * 0.003273977586 *              0 *
*  3055640 *    72210270959 *        3080088 * 0.039741175555 *              0 *       -1.2e-05 * 1.28151501e-09 * 0.003193959880 *              1 *
*  3063099 *    72210270959 *        3130967 * 0.150962540018 *              0 *       3.52e-05 * 7.66227939e-10 * 0.001417618504 *              0 *
*  3073167 *    72210270959 *        3210004 * 0.035342673415 *              0 *       5.68e-05 * 8.01884952e-10 * 0.000561560120 *              0 *
*  3080551 *    72210270959 *        3260378 * 0.036317601858 *              0 *       4.88e-05 * 1.25432601e-09 * 0.003274808611 *              0 *
*  3092419 *    72210270959 *        3341224 * 0.035663410437 *              0 *       4.32e-05 * 6.48052619e-10 * 0.003272728203 *              1 *
*  3117820 *    72210270959 *        3530234 * 0.037698319965 *              0 *       6.32e-05 * 8.16879316e-07 * 0.000478308382 *              1 *
****************************************************************************************************************************************************
