****************************************************************************************************************************************************
*    Row   *   SeriesNumber *    EventNumber *       pt_keVee *        coinwin *      PTOFdelay *   zip4.PAWKmax *   zip4.PAWKr50 *         cchisq *
****************************************************************************************************************************************************
*    33567 *    72210251956 *         260170 * 0.036802160882 *              0 *      -1.04e-05 * 1.98670750e-09 * 0.001982377087 *              0 *
*    33890 *    72210251956 *         260493 * 0.035359013474 *              0 *       3.84e-05 * 9.50576746e-10 * 0.003062864147 *              0 *
*    77510 *    72210251956 *         590046 * 0.036520879603 *              0 *          4e-05 * 8.17705160e-10 * 0.000251082416 *              1 *
*   168524 *    72210251956 *        1240738 * 0.038589930951 *              1 *       2.32e-05 * 1.11868764e-09 * 0.003273811634 *              1 *
*   237638 *    72210251956 *        1740554 * 0.037016720101 *              0 *       6.16e-05 * 1.03167133e-09 * 0.003111195547 *              1 *
*   294569 *    72210251956 *        2150531 * 0.047213763804 *              1 *          2e-05 * 8.17745098e-10 * 0.000239106386 *              0 *
*   318933 *    72210251956 *        2321325 * 0.035053608252 *              0 *        4.4e-05 * 6.83935653e-10 * 0.002115000226 *              0 *
*   337226 *    72210251956 *        2460215 * 0.036091997941 *              0 *        5.6e-05 * 1.52779545e-09 * 0.003274462872 *              1 *
*   373065 *    72210251956 *        2711372 * 0.063951686477 *              0 *        5.6e-06 * 9.52217696e-10 * 0.001226979214 *              1 *
*   540922 *    72210251956 *        3930464 * 0.065514331124 *              1 *       2.72e-05 * 6.20264970e-10 * 0.000970438032 *              1 *
*   568628 *    72210251956 *        4130203 * 0.208353954915 *              1 *          2e-05 * 6.25991540e-10 * 0.000967461911 *              1 *
*   582587 *    72210251956 *        4230742 * 0.038061795611 *              0 *       6.32e-05 * 1.06057522e-09 * 0.000512900523 *              0 *
*   607795 *    72210251956 *        4410804 * 0.063728127265 *              0 *       -3.2e-06 * 1.25278439e-09 * 0.002938531961 *              0 *
*   692933 *    72210251956 *        5021186 * 0.074162863951 *              1 *        7.2e-06 * 1.07433698e-09 * 0.003169010793 *              1 *
*   703111 *    72210251956 *        5100303 * 0.035922558514 *              0 *       4.48e-05 * 1.09937818e-09 * 0.001185000908 *              0 *
*   857864 *    72210261049 *          10204 * 0.137264678813 *              0 *       -1.6e-06 * 6.64961648e-10 * 0.002930512666 *              1 *
*   887656 *    72210261049 *         220484 * 0.127016412517 *              0 *       3.52e-05 * 7.03820780e-10 * 0.002524584841 *              0 *
*   957914 *    72210261049 *         730117 * 0.061621571956 *              0 *        3.6e-05 * 1.14554329e-09 * 0.001733329113 *              0 *
*  1024859 *    72210261049 *        1210356 * 0.183675758946 *              1 *       2.08e-05 * 9.15268158e-10 * 0.001100138129 *              0 *
*  1073100 *    72210261049 *        1551240 * 0.049883966841 *              0 *       6.16e-05 * 1.06358919e-09 * 0.002213238812 *              0 *
*  1142242 *    72210261049 *        2050884 * 0.129263954952 *              0 *       3.52e-05 * 8.34672419e-07 * 0.002082532919 *              0 *
*  1152785 *    72210261049 *        2130171 * 0.035470163733 *              0 *              0 * 9.04388911e-10 * 0.001426895838 *              1 *
*  1201178 *    72210261049 *        2470676 * 0.119309458872 *              1 *       3.04e-05 * -8.1505736e-10 *              0 *              0 *
*  1212463 *    72210261049 *        2551205 * 0.035025681491 *              0 *       3.44e-05 * 5.59653001e-10 * 0.000279291911 *              1 *
*  1215956 *    72210261049 *        2580495 * 0.118788887226 *              0 *       3.52e-05 * -1.5310791e-07 *              0 *              0 *
*  1230082 *    72210261049 *        2680550 * 0.077626697305 *              1 *          2e-05 * 8.31736391e-07 * 0.000691599205 *              0 *
*  1250234 *    72210261049 *        2821035 * 0.175059685808 *              1 *       2.48e-05 * 8.53333009e-10 * 0.001218050585 *              0 *
*  1257670 *    72210261049 *        2880129 * 0.137035887516 *              1 *       1.92e-05 * 9.32297006e-10 * 0.002049771760 *              0 *
*  1355968 *    72210261049 *        3581218 * 0.108316703647 *              1 *        2.8e-05 * 5.76543139e-10 * 0.002257316995 *              0 *
*  1360764 *    72210261049 *        3620297 * 0.165832811858 *              1 *       2.64e-05 * 8.21644486e-07 * 0.002237472514 *              0 *
*  1378739 *    72210261049 *        3741374 * 0.205497598197 *              0 *       3.68e-05 * 5.16514028e-10 * 0.000507225254 *              0 *
*  1411147 *    72210261049 *        3990315 * 0.048238385693 *              0 *        3.2e-05 * 1.52773325e-09 * 0.002886169032 *              0 *
*  1451349 *    72210261049 *        4281256 * 0.674143050530 *              1 *          2e-05 * 8.51396081e-10 * 0.001317175691 *              0 *
*  1503912 *    72210261049 *        4671088 * 0.037093612295 *              1 *        7.2e-06 * 9.65433083e-10 * 0.002176994859 *              0 *
*  1515139 *    72210261049 *        4760339 * 0.050791913549 *              0 *        3.6e-05 * 8.15875656e-07 * 0.001214111642 *              0 *
*  1531539 *    72210261049 *        4880024 * 0.051810155293 *              0 *        3.6e-05 * 7.31229169e-10 * 0.001751882055 *              0 *
*  1532834 *    72210261049 *        4881319 * 0.165063134937 *              0 *          4e-05 * 8.22789990e-10 * 0.001567541092 *              0 *
