    Row   , SeriesNumber, EventNumber ,    pt_keVee , zip4.PAWKmax, sihv_delay_us
,,,,,
77232,72210251956,581156,0.246266023,8.09E-07,12.21022046
127693,72210251956,950436,0.035075733,8.09E-07,18.21765452
168382,72210251956,1240596,0.187295359,8.28E-07,14.68080773
278962,72210251956,2040013,0.067377938,8.32E-07,12.37950491
287927,72210251956,2100878,0.251510628,8.13E-07,5.343255796
367807,72210251956,2680223,0.504917938,8.28E-07,19.98049163
546106,72210251956,3961429,0.299030119,8.27E-07,6.259800472
567370,72210251956,4120359,0.045740498,8.08E-07,24.08230721
759182,72210251956,5501218,0.133120184,8.14E-07,4.664402556
861121,72210261049,30702,0.198513585,8.05E-07,15.86809056
866795,72210261049,70717,0.184598656,8.25E-07,23.41938474
924871,72210261049,490582,0.146459728,8.22E-07,24.51728843
958649,72210261049,730852,0.102554024,8.34E-07,18.69126444
967607,72210261049,791299,0.99006981,8.05E-07,20.7793896
1004533,72210261049,1060478,0.035366246,8.02E-07,29.21170309
1028611,72210261049,1231260,0.13371218,8.22E-07,20.96526117
1062778,72210261049,1480577,0.041558077,8.17E-07,13.9679619
1094415,72210261049,1710033,0.035161844,8.33E-07,11.37555951
1097034,72210261049,1721260,0.044796065,8.27E-07,19.82167143
1186704,72210261049,2370260,0.063243861,8.24E-07,6.323983562
1189986,72210261049,2390761,0.288874829,8.30E-07,21.78951745
1197714,72210261049,2450054,0.172546639,8.20E-07,13.84705117
1214059,72210261049,2570021,0.260496466,8.12E-07,20.09247011
1250061,72210261049,2820862,0.0744052,8.37E-07,11.50782915
1253556,72210261049,2850200,0.240588454,8.32E-07,15.42681339
1274973,72210261049,3000658,0.054334482,8.20E-07,18.70542065
1285946,72210261049,3080403,0.178484786,8.33E-07,16.16045648
1313272,72210261049,3280365,0.153922507,8.01E-07,23.28652237
1322063,72210261049,3340984,0.050568872,8.10E-07,5.200278887
1330228,72210261049,3400620,0.344391375,8.70E-07,-564.622882
1354587,72210261049,3571206,0.244682801,8.08E-07,8.686797117
1390871,72210261049,3831195,0.126562442,8.29E-07,11.89389783
1419392,72210261049,4050453,0.14921541,8.32E-07,25.86835205
1432630,72210261049,4150190,0.058147507,8.05E-07,12.7859926
1437239,72210261049,4180769,0.153146381,8.33E-07,23.81862571
1571084,72210261049,5161249,0.126686232,8.34E-07,21.47710426
1588831,72210261049,5291234,0.146207815,8.09E-07,21.42551147
1639138,72210261049,5670367,0.138966913,7.99E-07,29.12833501
1671465,72210261049,5910014,0.081038553,8.00E-07,20.15180938
1709762,72210261049,6191126,0.264111022,8.23E-07,25.84383742
1723557,72210261049,6291084,0.169649024,8.02E-07,26.90373811
1742217,72210261049,6430377,0.164485627,8.24E-07,24.28386919
1769714,72210262224,180022,0.061549726,8.11E-07,18.43575254
1791147,72210262224,330550,0.035697355,8.26E-07,29.97686098
1819542,72210262224,531048,0.035984679,8.10E-07,22.76437914
1829167,72210262224,600726,0.869851089,8.13E-07,23.50115443
1883601,72210262224,991167,0.092155339,8.33E-07,16.61815957
1950392,72210262224,1480251,0.057921801,8.11E-07,13.14108234
1972957,72210262224,1640682,0.044417514,8.10E-07,27.70444112
2021277,72210262224,1981361,0.124898219,8.34E-07,14.94170497
2057935,72210262224,2250879,0.05762134,8.20E-07,11.17979717
2087397,72210262224,2461083,0.109970213,8.22E-07,13.3060327
2099142,72210262224,2550494,0.169432837,8.16E-07,25.83820735
2130290,72210262224,2771343,0.035617752,8.34E-07,11.1372094
2131212,72210262224,2780862,0.073314077,8.27E-07,18.70182251
2159127,72210262224,2981275,0.159789381,8.11E-07,12.46749193
2162494,72210262224,3010512,0.089464223,8.10E-07,15.47654262
2206815,72210262224,3330553,0.07740308,8.38E-07,14.57915161
2253284,72210262224,3661264,0.081090631,8.20E-07,18.57284478
2277420,72210262224,3840257,0.19885113,8.37E-07,2.365535447
2321332,72210262224,4150950,0.097436709,8.22E-07,4.736554267
2331583,72210262224,4230463,0.035165404,8.11E-07,7.697062764
2362632,72210262224,4450879,0.039040407,8.36E-07,1.513666194
2380817,72210262224,4580905,0.115029413,8.35E-07,26.76112225
2391986,72210262224,4660800,0.199278557,7.96E-07,18.76824552
2400893,72210262224,4721402,0.035889486,8.31E-07,22.2130822
2401985,72210262224,4731079,0.319656692,8.08E-07,14.70776806
2414494,72210262224,4820894,0.039030384,8.11E-07,17.78739377
2419324,72210262224,4860193,0.545309547,8.15E-07,10.0703571
2515380,72210262224,5550830,0.076432681,8.26E-07,24.58651519
2563515,72210262224,5900922,0.251583016,8.23E-07,26.3262133
2579985,72210262224,6020630,0.127828898,8.14E-07,15.25382262
2621561,72210262224,6320644,0.157901458,8.27E-07,12.88973838
2677752,72210270959,330936,0.038546538,8.13E-07,18.6487348
2729378,72210270959,700758,0.39445361,8.32E-07,24.65926914
2739884,72210270959,780121,0.064478512,8.05E-07,23.91701907
2762921,72210270959,940954,0.470293655,8.26E-07,22.03081274
2793667,72210270959,1161240,0.203103576,8.05E-07,17.10378843
2848470,72210270959,1560380,0.086892262,8.23E-07,17.22800198
2875509,72210270959,1760011,0.155757622,8.05E-07,16.26721907
2881061,72210270959,1791306,0.04581528,8.43E-07,-1132.41171
2908491,72210270959,1990869,0.040874225,8.06E-07,30.93865025
2940319,72210270959,2220597,0.035660097,8.25E-07,24.52424123
2941103,72210270959,2221381,0.11242198,8.03E-07,27.85739384
3068222,72210270959,3170542,0.148700929,7.92E-07,9.609409929
3075882,72210270959,3221318,0.16550854,8.15E-07,17.19550372
3099630,72210270959,3400149,0.038959258,8.77E-07,-359.717629
