    Row   , SeriesNumber, EventNumber ,    pt_keVee , zip4.PAWKmax, sihv_delay_us
,,,,,
57727,72210191832,431113,0.036859092,8.33E-07,22.54515403
67396,72210191832,501199,0.039886261,8.25E-07,13.89700704
74189,72210191832,551089,0.057310559,8.18E-07,18.03302193
80932,72210191832,600995,0.176474197,8.05E-07,11.64239809
94767,72210191832,701225,0.272618264,8.28E-07,23.20602435
101618,72210191832,751334,0.035453687,8.15E-07,7.053526368
102018,72210191832,760376,0.035417814,8.17E-07,10.86116974
112362,72210191832,831152,0.06177211,8.27E-07,2.319838675
156239,72210191832,1160560,0.036822222,8.06E-07,20.70987001
192891,72210191832,1430424,0.212472604,8.13E-07,20.95377193
210444,72210191832,1560356,0.378974171,8.15E-07,13.56746391
211511,72210191832,1570019,0.245533652,8.32E-07,7.557525606
239081,72210191832,1770508,0.037262371,8.35E-07,19.66416802
293327,72210192240,160493,0.101043124,8.13E-07,17.28319249
294110,72210192240,161276,0.038856829,8.10E-07,17.2307266
319433,72210192240,351109,0.079655393,8.38E-07,29.19324967
356540,72210192240,630417,0.03518991,8.39E-07,30.53627422
362778,72210192240,671224,0.23799857,8.18E-07,20.37028555
500970,72210192240,1700449,0.035226636,8.37E-07,14.72637743
513591,72210192240,1790909,0.057135436,8.10E-07,10.69539939
541638,72210192240,2000532,0.040247732,8.13E-07,15.85786256
647789,72210192240,2780793,0.074981785,8.20E-07,11.59662694
671638,72210192240,2960443,0.035790083,8.27E-07,8.577959402
686561,72210192240,3070697,0.036080368,8.38E-07,14.93658327
702085,72210192240,3190005,0.168742594,8.15E-07,20.16556292
704703,72210192240,3201271,0.114564542,8.32E-07,25.31851219
720627,72210192240,3320786,0.07035886,8.42E-07,-991.34345
724764,72210192240,3350800,0.041247528,8.64E-07,-1115.69208
725228,72210192240,3351264,0.175623702,8.48E-07,-1789.31244
725785,72210192240,3360492,0.045663401,8.12E-07,17.93073886
733432,72210192240,3411304,0.039801657,8.43E-07,19.87041252
755841,72210192240,3580540,0.95599227,8.17E-07,9.707822355
756160,72210192240,3580859,0.201138218,8.21E-07,21.83214472
761155,72210192240,3620491,0.261002467,8.42E-07,22.38133967
763807,72210192240,3640428,0.044758438,8.34E-07,11.10702724
764212,72210192240,3640833,0.038752187,8.19E-07,22.31382804
789199,72210192240,3830100,0.052636843,8.43E-07,12.03947444
794953,72210192240,3870565,0.080326348,8.43E-07,5.857015347
797592,72210192240,3890526,0.036575505,8.18E-07,7.51943038
812133,72210192240,4000234,0.363966591,7.48E-07,15.59163263
850801,72210192240,4281134,0.278770883,8.20E-07,20.14214984
857919,72210192240,4340160,0.130495201,8.39E-07,23.64480244
879357,72210192240,4500081,0.669598602,8.11E-07,4.990927151
899619,72210192240,4641222,0.483555824,8.14E-07,14.57564012
902270,72210192240,4661133,0.035546051,8.26E-07,18.44654081
911392,72210192240,4730824,0.208669563,8.11E-07,7.501364214
920660,72210192240,4800447,0.145797401,8.10E-07,16.998558
942935,72210192240,4960824,0.244752492,8.01E-07,18.10477328
950522,72210192240,5020230,0.252267301,8.31E-07,24.87050938
952517,72210192240,5030845,0.214158914,8.32E-07,31.94161625
1009334,72210200954,130138,0.139430603,8.03E-07,26.59452929
1069168,72210200954,570256,0.04238535,8.15E-07,5.054467424
1090212,72210200954,720923,0.037233193,8.31E-07,6.166022887
1092785,72210200954,740716,0.148161412,8.65E-07,-899.458549
1169308,72210200954,1300658,0.055299166,8.15E-07,19.18249849
1182279,72210200954,1400017,0.301140991,9.16E-07,-362.512015
1190104,72210200954,1451042,0.047816518,8.03E-07,21.72191603
1195938,72210200954,1500654,0.035259988,8.28E-07,1.679412716
1204430,72210200954,1561002,0.120460582,8.23E-07,12.42869629
1292456,72210200954,2200838,0.038171829,8.15E-07,13.53702842
1299378,72210200954,2250989,0.043425134,8.27E-07,2.488313827
1311563,72210200954,2341033,0.138672343,8.34E-07,19.97391516
1329956,72210200954,2480260,0.036303979,8.33E-07,19.80307926
1385633,72210200954,2881229,0.11996948,8.03E-07,30.61312153
1388405,72210200954,2901259,0.264784873,8.21E-07,30.88700032
1448320,72210200954,3341184,0.038070417,8.21E-07,15.59021251
1472556,72210200954,3521092,0.035483003,8.20E-07,7.962265684
1486109,72210200954,3621022,0.035746738,8.05E-07,24.24123335
1519011,72210200954,3861136,0.587890273,8.00E-07,11.8573866
1597945,72210200954,4441228,0.130061963,8.25E-07,25.83944657
1602269,72210200954,4480120,0.111598343,8.06E-07,-1363.364
1603117,72210200954,4480968,0.375672282,8.02E-07,25.97296722
1620602,72210200954,4610628,0.035723333,8.13E-07,3.456341009
1673350,72210200954,5000287,0.094743084,8.07E-07,27.05996702
1698779,72210200954,5181274,0.037442029,8.11E-07,21.49878749
1704787,72210200954,5230414,0.042048285,7.92E-07,13.8767945
