****************************************************************************************************************************************************
*    Row   *   SeriesNumber *    EventNumber *       pt_keVee *        coinwin *      PTOFdelay *   zip4.PAWKmax *   zip4.PAWKr50 *         cchisq *
****************************************************************************************************************************************************
*     3010 *    72210191832 *          30407 * 0.037580405083 *              0 *       6.32e-05 * 1.18956974e-09 * 0.003112840798 *              0 *
*     5489 *    72210191832 *          50120 * 0.040212747465 *              0 *       4.24e-05 * 1.08586459e-09 * 0.002932409266 *              0 *
*    19504 *    72210191832 *         150630 * 0.035649401887 *              0 *       -2.4e-06 * 7.57244874e-10 * 0.001124170477 *              1 *
*    27827 *    72210191832 *         210779 * 0.037926634858 *              0 *       -6.4e-06 * 9.27550819e-10 * 0.003154036608 *              1 *
*    27842 *    72210191832 *         210794 * 0.036030723138 *              0 *       3.68e-05 * 8.47849620e-10 * 0.000632072494 *              1 *
*    80185 *    72210191832 *         600248 * 0.036426196485 *              0 *       -1.2e-05 * 8.08063501e-07 * 0.002124816894 *              1 *
*    97860 *    72210191832 *         730301 * 0.044526938791 *              0 *       4.24e-05 * 1.11130552e-09 * 0.002450478007 *              0 *
*   122530 *    72210191832 *         910583 * 0.036122572505 *              0 *       6.16e-05 * 1.09871973e-09 * 0.001670691919 *              0 *
*   142763 *    72210191832 *        1060593 * 0.049763549930 *              0 *       5.12e-05 * 8.22235822e-10 * 0.000885338370 *              0 *
*   201585 *    72210191832 *        1490985 * 0.036292305851 *              0 *       -2.4e-06 * 8.38543322e-07 * 0.000831702698 *              1 *
*   243914 *    72210191832 *        1801317 * 0.035371677280 *              0 *       -4.8e-06 * 1.08664825e-09 * 0.001322526023 *              1 *
*   304247 *    72210192240 *         240711 * 0.041188351782 *              0 *         -8e-07 * 1.42766903e-09 * 0.003273201453 *              1 *
*   305895 *    72210192240 *         250970 * 0.076576494063 *              0 *       3.68e-05 * 1.87687801e-09 * 0.003274069176 *              1 *
*   326591 *    72210192240 *         410393 * 0.035768519116 *              0 *       3.68e-05 * 1.43731228e-09 * 0.002690310950 *              1 *
*   329603 *    72210192240 *         430697 * 0.043234684769 *              0 *       4.08e-05 * 8.81917134e-10 * 0.001051849943 *              1 *
*   343139 *    72210192240 *         530530 * 0.560226520166 *              0 *        4.4e-05 * 6.37750449e-10 * 0.000653224819 *              0 *
*   411026 *    72210192240 *        1031070 * 0.036735468534 *              0 *       6.08e-05 * 9.19600563e-10 * 0.000893702610 *              0 *
*   419211 *    72210192240 *        1091213 * 0.042134923914 *              1 *       1.52e-05 * 9.40469201e-10 * 0.000942121691 *              1 *
*   447354 *    72210192240 *        1301001 * 0.282027238864 *              1 *        2.8e-05 * 1.02366301e-09 * 0.003274197105 *              1 *
*   470559 *    72210192240 *        1471017 * 0.035157620371 *              0 *       5.68e-05 * 8.69799291e-10 * 0.001054449302 *              1 *
*   483244 *    72210192240 *        1570294 * 0.065172413483 *              0 *       6.24e-05 * 4.71583601e-10 * 0.000264502904 *              0 *
*   496022 *    72210192240 *        1661055 * 0.036629665269 *              0 *        5.6e-06 * 6.83999645e-10 * 0.001421658129 *              1 *
*   503689 *    72210192240 *        1720448 * 0.038971388112 *              0 *       6.08e-05 * 2.61345874e-09 * 0.003271323958 *              0 *
*   549368 *    72210192240 *        2051361 * 0.038407986296 *              0 *       5.52e-05 * 8.06844691e-07 * 0.002233198843 *              1 *
*   549445 *    72210192240 *        2060066 * 0.258994437376 *              1 *       1.52e-05 * 9.79260393e-10 * 0.001301304753 *              1 *
*   549528 *    72210192240 *        2060149 * 0.036053728990 *              1 *        7.2e-06 * 1.25794535e-09 * 0.003273654884 *              1 *
*   553569 *    72210192240 *        2090107 * 0.040903929468 *              0 *       6.16e-05 * 8.13995614e-10 * 0.002226211439 *              0 *
*   611633 *    72210192240 *        2511305 * 0.042213948290 *              0 *       6.16e-05 * 8.48645975e-10 * 0.002761773765 *              0 *
*   626150 *    72210192240 *        2620907 * 0.035173373881 *              0 *       4.88e-05 * 6.33184366e-11 * 0.000200902856 *              1 *
*   664292 *    72210192240 *        2901035 * 0.042966705413 *              0 *        5.6e-05 * 9.87361378e-10 * 0.001739096211 *              1 *
*   696694 *    72210192240 *        3150037 * 0.036057139193 *              0 *       5.68e-05 * 7.75183459e-10 * 0.001569439885 *              1 *
*   741250 *    72210192240 *        3470965 * 0.040126447008 *              0 *       5.84e-05 * 7.22547052e-10 * 0.000696888352 *              0 *
*   749825 *    72210192240 *        3540017 * 0.035428422371 *              0 *       -9.6e-06 * 1.17434944e-09 * 0.001229106913 *              1 *
*   758971 *    72210192240 *        3600933 * 0.073512918496 *              1 *       2.08e-05 * 9.75723935e-10 * 0.002675180248 *              0 *
*   772101 *    72210192240 *        3700639 * 0.221238619638 *              0 *         -8e-07 * 8.76757393e-10 * 0.002728263519 *              1 *
*   818081 *    72210192240 *        4040851 * 0.035866715164 *              0 *       3.92e-05 * 5.70863544e-10 * 0.000352178100 *              0 *
*   840870 *    72210192240 *        4210503 * 0.038200210905 *              1 *       1.28e-05 * 8.26302161e-10 * 0.000755452934 *              1 *
*   858708 *    72210192240 *        4340949 * 0.075666936180 *              1 *       2.32e-05 * 9.85291965e-10 * 0.000374211549 *              1 *
*   868978 *    72210192240 *        4420304 * 0.045859335704 *              0 *       6.08e-05 * 8.18091413e-10 * 0.002123894278 *              0 *
*   962727 *    72210192240 *        5110094 * 0.044891427803 *              0 *       5.84e-05 * 8.15759894e-07 * 0.001743540646 *              0 *
*   978805 *    72210192240 *        5221146 * 0.040932523270 *              0 *       -7.2e-06 * 9.54867110e-10 * 0.001378871015 *              1 *
*   993106 *    72210200954 *          10183 * 0.039678158704 *              0 *       3.92e-05 * 7.78334380e-10 * 0.003274472430 *              0 *
*   998573 *    72210200954 *          50285 * 0.601320124630 *              1 *       2.08e-05 * 9.24430935e-10 * 0.003075798322 *              0 *
