****************************************************************************************************************************************************
*    Row   *   SeriesNumber *    EventNumber *       pt_keVee *        coinwin *      PTOFdelay *   zip4.PAWKmax *   zip4.PAWKr50 *         cchisq *
****************************************************************************************************************************************************
*      366 *    72208301829 *          10366 * 0.037537034643 *              0 *       5.92e-05 * 9.48214939e-10 * 0.003045076667 *              0 *
*      526 *    72208301829 *          10526 * 0.044880261672 *              0 *          6e-05 * 6.30788548e-10 * 0.000212493949 *              0 *
*      604 *    72208301829 *          10604 * 0.047358246296 *              0 *          6e-05 * 7.85169056e-10 * 0.002403590563 *              0 *
*      756 *    72208301829 *          10756 * 0.040305176397 *              0 *       6.32e-05 * 7.03006897e-10 * 0.001004603134 *              0 *
*     1537 *    72208301829 *          20471 * 0.044184188777 *              0 *          6e-05 * 1.13369112e-09 * 0.003149550750 *              0 *
*     1606 *    72208301829 *          20540 * 0.057664951365 *              0 *       5.92e-05 * 2.13177551e-09 * 0.003269026663 *              0 *
*     3600 *    72208301829 *          40811 * 0.053088422660 *              0 *       5.92e-05 * 8.08016932e-10 * 0.002972258747 *              0 *
*     6004 *    72208301829 *          70673 * 0.042559074487 *              0 *       -1.2e-05 * 6.16202314e-10 * 0.003274665771 *              1 *
*     6223 *    72208301829 *          80037 * 0.036208530520 *              1 *        1.6e-05 * 1.04494635e-09 * 0.002017961005 *              1 *
*     6355 *    72208301829 *          80169 * 0.051331076927 *              0 *       6.16e-05 * 6.23441852e-10 * 0.000216481737 *              0 *
*     8377 *    72208301829 *         100444 * 0.037585327776 *              0 *       5.36e-05 * 8.36093043e-10 * 0.000581377995 *              1 *
*    10612 *    72208301829 *         130151 * 0.049796364693 *              0 *       5.92e-05 * 9.62154658e-10 * 0.001960102508 *              0 *
*    11324 *    72208301829 *         130863 * 0.044130229621 *              0 *       3.28e-05 * 9.07655570e-10 * 0.001951034275 *              1 *
*    11796 *    72208301829 *         140435 * 0.053936919718 *              0 *       6.08e-05 * 7.96253278e-10 * 0.000275515932 *              0 *
*    15547 *    72208301829 *         180766 * 0.035488251899 *              0 *       5.84e-05 * 4.15111687e-10 * 0.000296260912 *              0 *
*    15918 *    72208301829 *         190281 * 0.036215555013 *              0 *       -7.2e-06 * 1.15211530e-09 * 0.003033780738 *              1 *
*    16627 *    72208301829 *         200181 * 0.039635339271 *              1 *       2.48e-05 * 9.23209125e-10 * 0.003274498482 *              0 *
*    16879 *    72208301829 *         200433 * 0.077215342541 *              0 *       6.08e-05 * 5.19933753e-10 * 0.000296215246 *              0 *
*    17381 *    72208301829 *         210128 * 0.037106089415 *              0 *       -7.2e-06 * 6.90657233e-10 * 0.001289661706 *              0 *
*    23303 *    72208301829 *         280107 * 0.036434020845 *              0 *       6.08e-05 * 2.42609160e-09 * 0.003272532603 *              1 *
*    24782 *    72208301829 *         290716 * 0.036487682636 *              0 *      -1.04e-05 * 5.89510480e-10 * 0.000555980948 *              0 *
*    26037 *    72208301829 *         310228 * 0.037496888652 *              0 *       6.16e-05 * 9.72725935e-10 * 0.002722760641 *              0 *
*    30661 *    72208301829 *         360605 * 0.037409334919 *              0 *       -1.2e-05 * 1.21153912e-09 * 0.003272883049 *              1 *
*    31022 *    72208301829 *         370107 * 0.038912200858 *              0 *       5.92e-05 * 9.43531936e-10 * 0.003099772613 *              0 *
*    36590 *    72208301829 *         430650 * 0.039176245798 *              0 *       3.36e-05 * 7.81541140e-10 * 0.002780995209 *              1 *
*    38356 *    72208301829 *         450701 * 0.037584745203 *              0 *       4.72e-05 * -6.4379306e-10 *              0 *              1 *
*    40941 *    72208301829 *         480764 * 0.036460378609 *              0 *       4.56e-05 * 7.90408342e-10 * 0.002999725868 *              1 *
*    41637 *    72208301829 *         490674 * 0.036008869812 *              1 *       1.52e-05 * 1.08285899e-09 * 0.000214801143 *              1 *
*    42089 *    72208301829 *         500276 * 0.118139162952 *              0 *        5.6e-05 * 9.67362620e-10 * 0.001797890497 *              0 *
*    46793 *    72208301829 *         560178 * 0.038754107266 *              0 *          4e-06 * 8.77577648e-10 * 0.002830421449 *              1 *
*    49435 *    72208301829 *         590215 * 0.037752461358 *              0 *       4.16e-05 * 1.69020343e-09 * 0.003273426487 *              1 *
*    50318 *    72208301829 *         600194 * 0.039969818576 *              0 *       5.92e-05 * 7.86843639e-10 * 0.000737416546 *              0 *
*    50932 *    72208301829 *         600808 * 0.437179175969 *              1 *          2e-05 * 7.24884499e-10 * 0.000438839498 *              1 *
*    51787 *    72208301829 *         620010 * 0.036241132151 *              0 *        4.8e-05 * 1.56990514e-09 * 0.001935044360 *              1 *
*    54224 *    72208301829 *         650014 * 0.036419814969 *              0 *       4.56e-05 * 4.41752095e-10 * 0.000329602539 *              1 *
*    58214 *    72208301829 *         690498 * 0.157413216445 *              0 *          6e-05 * 8.56513971e-10 * 0.000563253567 *              0 *
*    59310 *    72208301829 *         700639 * 0.037653538156 *              0 *       6.16e-05 * 1.09114980e-09 * 0.002931844765 *              1 *
*    63781 *    72208301829 *         750896 * 0.037681130080 *              0 *       5.84e-05 * 8.21485369e-10 * 0.001981289797 *              0 *
